Dish Name,Dish Photo,Dish Description,Recommended Restaurant,Restaurant Address,Phone,Longitude,Latitude,Nearby Transport,Opening Hours,Must-Try Index,Avg Cost,Queue Status,Nearby Attractions
Scallion-Roasted Pork Chop,,"Scallion-roasted pork chop is a Shanghainese dish made from thoroughly marinated pork chops, roasted until the exterior is crispy and the interior tender, with fragrant scallions — a taste of old Shanghai memories.",Lanxin Restaurant,"130 Jin Xian Road, Huangpu District, Shanghai",021-62530701,121.4886,31.2347,"Metro Line 8, Laoximen Station",11:00-20:30,5,60,Need to queue,"Huangpu River Cruise, City God Temple"
Scallion-Roasted Pork Chop,,"Scallion-roasted pork chop is a Shanghainese dish made from thoroughly marinated pork chops, roasted until the exterior is crispy and the interior tender, with fragrant scallions — a taste of old Shanghai memories.",Lanxin Restaurant,"2nd Floor, Hengsheng Bank Building, No. 1000 Lujiazui Ring Road, Pudong New Area, Shanghai",,121.6022,31.234,Line 2 Lujiazui Station,11:30-22:00,5,78,Need to make an appointment,"Oriental Pearl Tower, Lujiazui"
Scallion-Roasted Pork Chop,,"Scallion-roasted pork chop is a Shanghainese dish made from thoroughly marinated pork chops, roasted until the exterior is crispy and the interior tender, with fragrant scallions — a taste of old Shanghai memories.",Lao Kele,"Room 1-103, No. 7 Maoming South Road, Huangpu District, Shanghai",021-63286888,121.4657,31.2403,Metro Line 2 Nanjing West Road Station,11:30-22:00,4,100,Need to make an appointment,"Jing'an Temple, Wukang Road"
Scallion-Roasted Pork Chop,,"Scallion-roasted pork chop is a Shanghainese dish made from thoroughly marinated pork chops, roasted until the exterior is crispy and the interior tender, with fragrant scallions — a taste of old Shanghai memories.",Fu1088,"375 Zhenning Road, Jing'an District, Shanghai",021-52376878,121.4637,31.2474,Metro Line 7 Zhenning Road Station,11:00-22:00,5,125,Need to make an appointment,"Jing'an Temple, Wukang Road"
Scallion-Roasted Pork Chop,,"Scallion-roasted pork chop is a Shanghainese dish made from thoroughly marinated pork chops, roasted until the exterior is crispy and the interior tender, with fragrant scallions — a taste of old Shanghai memories.",Rui Fu Yuan,"175 Maoming South Road, Huangpu District, Shanghai",021-62890088,121.4679,31.2187,Line 1 Huangpi South Road Station,"11:00-14:00, 17:00-22:00",5,145,Need to make an appointment,"Huaihai Road, Xintiandi"
Shanghai Smoked Fish,,"Shanghai smoked fish is a local specialty, using grass carp or pomfret, fried until crispy then soaked in rich oil and red braising sauce — the exterior is crispy, the interior tender, even the bones become soft.",Fu1088,"375 Zhenning Road, Jing'an District, Shanghai",021-52376878,121.4637,31.2474,Metro Line 7 Zhenning Road Station,11:00-22:00,5,125,Need to make an appointment,"Jing'an Temple, Wukang Road"
Shanghai Smoked Fish,,"Shanghai smoked fish is a local specialty, using grass carp or pomfret, fried until crispy then soaked in rich oil and red braising sauce — the exterior is crispy, the interior tender, even the bones become soft.",Renhe Guan · Shanghai Cuisine,"No. 407 Zhaojiabang Road, Xuhui District, Shanghai",021-63222277,121.4368,31.1834,"Metro Line 1, Zhaojiabang Road Station",11:00-22:00,5,132,Need to make an appointment,"Xujiahui, Wukang Road"
Shanghai Smoked Fish,,"Shanghai smoked fish is a local specialty, using grass carp or pomfret, fried until crispy then soaked in rich oil and red braising sauce — the exterior is crispy, the interior tender, even the bones become soft.",Lao Zhengxing Restaurant,"556 Fuzhou Road, Huangpu District, Shanghai",021-63222624,121.5066,31.2277,Metro Line 8 Dashi World Station,11:00-22:00,5,125,Need to make an appointment,"City God Temple, Yuyuan Garden, Huangpu River Cruise"
Shanghai Smoked Fish,,"Shanghai smoked fish is a local specialty, using grass carp or pomfret, fried until crispy then soaked in rich oil and red braising sauce — the exterior is crispy, the interior tender, even the bones become soft.",Zui Lu · New Shanghai Cuisine (Nanjing West Road Branch),"5th Floor, He Sheng Hui, No. 1099 Xiangyin Road, Yangpu District, Shanghai",021-63330707,121.5,31.23,"Exit Xiangyin Road Station on Line 8, walk about 5 minutes; nearby bus stops include Xiangyin Road and Jun Gong Road, with multiple bus routes passing through.",11:00-22:00,4,121,Need to make an appointment,"Yu Garden, City God Temple"
Shanghai Smoked Fish,,"Shanghai smoked fish is a local specialty, using grass carp or pomfret, fried until crispy then soaked in rich oil and red braising sauce — the exterior is crispy, the interior tender, even the bones become soft.",Dexing Guan,"No. 471 Guangdong Road, Huangpu District, Shanghai",021-63221622,121.5086,31.2298,Metro Line 8 Dashi World Station,10:00-21:00,4,100,Queueing is required during peak hours,"City God Temple, Huangpu River Cruise"
Sweet and Sour Pork Ribs,,"Sweet and sour pork ribs are a Shanghai classic — small pork ribs are fried then coated in a tangy sweet and sour sauce, crispy outside, tender inside, sweet and sour, perfect with rice.",Lao Kele,"Room 1-103, No. 7 Maoming South Road, Huangpu District, Shanghai",021-63286888,121.4657,31.2403,Metro Line 2 Nanjing West Road Station,11:30-22:00,5,100,Need to make an appointment,"Jing'an Temple, Wukang Road"
Sweet and Sour Pork Ribs,,"Sweet and sour pork ribs are a Shanghai classic — small pork ribs are fried then coated in a tangy sweet and sour sauce, crispy outside, tender inside, sweet and sour, perfect with rice.",Lanxin Restaurant,"130 Jin Xian Road, Huangpu District, Shanghai",021-62530701,121.4886,31.2347,"Metro Line 8, Laoximen Station",11:00-20:30,4,60,Need to queue,"Huangpu River Cruise, City God Temple"
Sweet and Sour Pork Ribs,,"Sweet and sour pork ribs are a Shanghai classic — small pork ribs are fried then coated in a tangy sweet and sour sauce, crispy outside, tender inside, sweet and sour, perfect with rice.",Suzhehui,"388 Zhaojiabang Road, Huangpu District, Shanghai",021-64159918,121.4679,31.2187,Line 1 Huangpi South Road Station,11:00-21:00,4,169,Need to make an appointment,"Huaihai Road Commercial Street, Xintiandi"
Sweet and Sour Pork Ribs,,"Sweet and sour pork ribs are a Shanghai classic — small pork ribs are fried then coated in a tangy sweet and sour sauce, crispy outside, tender inside, sweet and sour, perfect with rice.",Sanlin Benbang Restaurant,"No. 65 Zhonglin Street, Pudong New Area, Shanghai",021-58411177,121.656,31.132,Line 16 Sanlin Station,11:00-22:00,4,97,Need to make an appointment,Sanlin Pond
Sweet and Sour Pork Ribs,,"Sweet and sour pork ribs are a Shanghai classic — small pork ribs are fried then coated in a tangy sweet and sour sauce, crispy outside, tender inside, sweet and sour, perfect with rice.",Rui Fu Yuan,"175 Maoming South Road, Huangpu District, Shanghai",021-62890088,121.4679,31.2187,Line 1 Huangpi South Road Station,"11:00-14:00, 17:00-22:00",5,145,Need to make an appointment,"Huaihai Road, Xintiandi"
Braised Pork Belly,,"Braised pork belly is a signature Shanghainese dish, made with alternating fat and lean pork belly, cooked in rich oil and red braising sauce — fatty but not greasy, soft, glutinous, fragrant and sweet, a favorite among Shanghainese.",Yidao,"6th Floor, Bund 18, No. 18 Zhongshan East First Road, Huangpu District, Shanghai",,121.4944,31.2425,Metro Line 2 Nanjing East Road Station,11:30-22:00,5,469,Need to make an appointment,"The Bund, Nanjing Road"
Braised Pork Belly,,"Braised pork belly is a signature Shanghainese dish, made with alternating fat and lean pork belly, cooked in rich oil and red braising sauce — fatty but not greasy, soft, glutinous, fragrant and sweet, a favorite among Shanghainese.",Renhe Guan · Shanghai Cuisine,"No. 407 Zhaojiabang Road, Xuhui District, Shanghai",021-63222277,121.4368,31.1834,"Metro Line 1, Zhaojiabang Road Station",11:00-22:00,5,132,Need to make an appointment,"Xujiahui, Wukang Road"
Braised Pork Belly,,"Braised pork belly is a signature Shanghainese dish, made with alternating fat and lean pork belly, cooked in rich oil and red braising sauce — fatty but not greasy, soft, glutinous, fragrant and sweet, a favorite among Shanghainese.",Lanxin Restaurant,"130 Jin Xian Road, Huangpu District, Shanghai",,121.5,31.23,"Nearby transport: Take Line 10 to Yuyuan Garden Station and walk about 10 minutes, or take bus 715 or 920 to Henan South Road Fu You Road Station and walk about 5 minutes to arrive.",,5,60,Need to queue,"Yu Garden, City God Temple"
Braised Pork Belly,,"Braised pork belly is a signature Shanghainese dish, made with alternating fat and lean pork belly, cooked in rich oil and red braising sauce — fatty but not greasy, soft, glutinous, fragrant and sweet, a favorite among Shanghainese.",Lao Kele,"Room 1-103, No. 7 Maoming South Road, Huangpu District, Shanghai",021-63286888,121.4657,31.2403,Metro Line 2 Nanjing West Road Station,11:30-22:00,5,140,Need to make an appointment,"Jing'an Temple, Wukang Road"
Braised Pork Belly,,"Braised pork belly is a signature Shanghainese dish, made with alternating fat and lean pork belly, cooked in rich oil and red braising sauce — fatty but not greasy, soft, glutinous, fragrant and sweet, a favorite among Shanghainese.",Suzhehui,"388 Zhaojiabang Road, Huangpu District, Shanghai",021-64159918,121.4679,31.2187,Line 1 Huangpi South Road Station,11:00-21:00,5,169,Need to make an appointment,"Huaihai Road Commercial Street, Xintiandi"
Sizzling Oil Eel Strips,,"Sizzling oil eel strips are a Shanghai specialty — eel is sliced into strips, stir-fried, then doused with hot oil, scallion segments, and other seasonings, producing a fragrant aroma; the name 'sizzling oil' comes from this technique, making it an excellent accompaniment to rice.",Lao Zhengxing Restaurant,"556 Fuzhou Road, Huangpu District, Shanghai",021-63222624,121.5066,31.2277,Metro Line 8 Dashi World Station,11:00-22:00,5,125,Need to make an appointment,"City God Temple, Yuyuan Garden, Huangpu River Cruise"
Sizzling Oil Eel Strips,,"Sizzling oil eel strips are a Shanghai specialty — eel is sliced into strips, stir-fried, then doused with hot oil, scallion segments, and other seasonings, producing a fragrant aroma; the name 'sizzling oil' comes from this technique, making it an excellent accompaniment to rice.",Lanxin Restaurant,"130 Jin Xian Road, Huangpu District, Shanghai",021-62530701,121.4886,31.2347,"Metro Line 8, Laoximen Station",11:00-20:30,4,70,Need to queue,"Huangpu River Cruise, City God Temple"
Sizzling Oil Eel Strips,,"Sizzling oil eel strips are a Shanghai specialty — eel is sliced into strips, stir-fried, then doused with hot oil, scallion segments, and other seasonings, producing a fragrant aroma; the name 'sizzling oil' comes from this technique, making it an excellent accompaniment to rice.",Fu1088,"375 Zhenning Road, Jing'an District, Shanghai",021-52376878,121.4637,31.2474,Metro Line 7 Zhenning Road Station,11:00-22:00,5,125,Need to make an appointment,"Jing'an Temple, Wukang Road"
Sizzling Oil Eel Strips,,"Sizzling oil eel strips are a Shanghai specialty — eel is sliced into strips, stir-fried, then doused with hot oil, scallion segments, and other seasonings, producing a fragrant aroma; the name 'sizzling oil' comes from this technique, making it an excellent accompaniment to rice.",Lao Kele,"Room 1-103, No. 7 Maoming South Road, Huangpu District, Shanghai",021-63286888,121.4657,31.2403,Metro Line 2 Nanjing West Road Station,11:30-22:00,4,100,Need to make an appointment,"Jing'an Temple, Wukang Road"
Sizzling Oil Eel Strips,,"Sizzling oil eel strips are a Shanghai specialty — eel is sliced into strips, stir-fried, then doused with hot oil, scallion segments, and other seasonings, producing a fragrant aroma; the name 'sizzling oil' comes from this technique, making it an excellent accompaniment to rice.",Rui Fu Yuan,"175 Maoming South Road, Huangpu District, Shanghai",021-62890088,121.4679,31.2187,Line 1 Huangpi South Road Station,"11:00-14:00, 17:00-22:00",5,145,Need to make an appointment,"Huaihai Road, Xintiandi"
Herb Ring,,"Herb ring is a Shanghainese dish made by wrapping pork neck meat around mallow (herb), then stir-fried — the herbal fragrance blends with the meat, savory and delicious, a classic from Shanghai’s old-established brands.",Lao Zhengxing Restaurant,"556 Fuzhou Road, Huangpu District, Shanghai",021-63222624,121.5066,31.2277,Metro Line 8 Dashi World Station,11:00-22:00,5,125,Need to make an appointment,"City God Temple, Yuyuan Garden, Huangpu River Cruise"
Herb Ring,,"Herb ring is a Shanghainese dish made by wrapping pork neck meat around mallow (herb), then stir-fried — the herbal fragrance blends with the meat, savory and delicious, a classic from Shanghai’s old-established brands.",Shanghai Old Restaurant,"242 Fuyou Road, Huangpu District, Shanghai",021-63552275,121.5066,31.2277,Metro Line 8 Dashi World Station,"11:00-14:00, 17:00-21:30",5,196,Need to queue,"City God Temple, Yuyuan Garden, Huangpu River Cruise"
Herb Ring,,"Herb ring is a Shanghainese dish made by wrapping pork neck meat around mallow (herb), then stir-fried — the herbal fragrance blends with the meat, savory and delicious, a classic from Shanghai’s old-established brands.",Lanxin Restaurant,"130 Jin Xian Road, Huangpu District, Shanghai",021-62530701,121.4886,31.2347,"Metro Line 8, Laoximen Station",11:00-20:30,4,70,Need to queue,"Huangpu River Cruise, City God Temple"
Herb Ring,,"Herb ring is a Shanghainese dish made by wrapping pork neck meat around mallow (herb), then stir-fried — the herbal fragrance blends with the meat, savory and delicious, a classic from Shanghai’s old-established brands.",Fu1088,"375 Zhenning Road, Jing'an District, Shanghai",021-52376878,121.4637,31.2474,Metro Line 7 Zhenning Road Station,11:00-22:00,5,125,Need to make an appointment,"Jing'an Temple, Wukang Road"
Herb Ring,,"Herb ring is a Shanghainese dish made by wrapping pork neck meat around mallow (herb), then stir-fried — the herbal fragrance blends with the meat, savory and delicious, a classic from Shanghai’s old-established brands.",Lao Kele,"Room 1-103, No. 7 Maoming South Road, Huangpu District, Shanghai",021-63286888,121.4657,31.2403,Metro Line 2 Nanjing West Road Station,11:30-22:00,4,100,Need to make an appointment,"Jing'an Temple, Wukang Road"
Stir-Fried Shrimp in Hot Oil,,"Stir-fried shrimp in hot oil is a famous Shanghai dish made with fresh river shrimp, quickly fried until fragrant — the shell becomes crispy, the shrimp meat tender and juicy, a favorite drinking snack among Shanghainese.",Lao Zhengxing Restaurant,"556 Fuzhou Road, Huangpu District, Shanghai",021-63222624,121.5066,31.2277,Metro Line 8 Dashi World Station,11:00-22:00,5,125,Need to make an appointment,"City God Temple, Yuyuan Garden, Huangpu River Cruise"
Stir-Fried Shrimp in Hot Oil,,"Stir-fried shrimp in hot oil is a famous Shanghai dish made with fresh river shrimp, quickly fried until fragrant — the shell becomes crispy, the shrimp meat tender and juicy, a favorite drinking snack among Shanghainese.",Lanxin Restaurant,"130 Jin Xian Road, Huangpu District, Shanghai",021-62530701,121.4886,31.2347,"Metro Line 8, Laoximen Station",11:00-20:30,5,70,Need to queue,"Huangpu River Cruise, City God Temple"
Stir-Fried Shrimp in Hot Oil,,"Stir-fried shrimp in hot oil is a famous Shanghai dish made with fresh river shrimp, quickly fried until fragrant — the shell becomes crispy, the shrimp meat tender and juicy, a favorite drinking snack among Shanghainese.",Jing Yun Hua · Chinese Restaurant,"Second Floor, L+PLAZA, No. 345 Dongyu Road, Pudong New Area, Shanghai",021-63330909,121.5,31.23,Exit Huaxia Zhonglu Station on Line 6 and walk about 10 minutes; take bus 988 or Pudong 35 to Dongyu Road Huaxia Xilu Station and arrive immediately.,11:00-22:00,4,140,Need to make an appointment,"Yu Garden, City God Temple"
Stir-Fried Shrimp in Hot Oil,,"Stir-fried shrimp in hot oil is a famous Shanghai dish made with fresh river shrimp, quickly fried until fragrant — the shell becomes crispy, the shrimp meat tender and juicy, a favorite drinking snack among Shanghainese.",Fu1088,"375 Zhenning Road, Jing'an District, Shanghai",021-52376878,121.4637,31.2474,Metro Line 7 Zhenning Road Station,11:00-22:00,5,125,Need to make an appointment,"Jing'an Temple, Wukang Road"
Stir-Fried Shrimp in Hot Oil,,"Stir-fried shrimp in hot oil is a famous Shanghai dish made with fresh river shrimp, quickly fried until fragrant — the shell becomes crispy, the shrimp meat tender and juicy, a favorite drinking snack among Shanghainese.",Lao Kele,"Room 1-103, No. 7 Maoming South Road, Huangpu District, Shanghai",021-63286888,121.4657,31.2403,Metro Line 2 Nanjing West Road Station,11:30-22:00,4,100,Need to make an appointment,"Jing'an Temple, Wukang Road"
Xian Du Xian,,"Xian Du Xian is a Shanghai spring specialty — salted cured meat, fresh spring bamboo shoots, and winter mushrooms are stewed together, producing a rich, savory, fragrant broth where the tender freshness of the spring bamboo shoots is fully released.",Lao Zhengxing Restaurant,"556 Fuzhou Road, Huangpu District, Shanghai",021-63222624,121.5066,31.2277,Metro Line 8 Dashi World Station,11:00-22:00,5,125,Need to make an appointment,"City God Temple, Yuyuan Garden, Huangpu River Cruise"
Xian Du Xian,,"Xian Du Xian is a Shanghai spring specialty — salted cured meat, fresh spring bamboo shoots, and winter mushrooms are stewed together, producing a rich, savory, fragrant broth where the tender freshness of the spring bamboo shoots is fully released.",Lanxin Restaurant,"130 Jin Xian Road, Huangpu District, Shanghai",021-62530701,121.4886,31.2347,"Metro Line 8, Laoximen Station",11:00-20:30,4,80,Need to queue,"Huangpu River Cruise, City God Temple"
Xian Du Xian,,"Xian Du Xian is a Shanghai spring specialty — salted cured meat, fresh spring bamboo shoots, and winter mushrooms are stewed together, producing a rich, savory, fragrant broth where the tender freshness of the spring bamboo shoots is fully released.",Fu1088,"375 Zhenning Road, Jing'an District, Shanghai",021-52376878,121.4637,31.2474,Metro Line 7 Zhenning Road Station,11:00-22:00,5,125,Need to make an appointment,"Jing'an Temple, Wukang Road"
Xian Du Xian,,"Xian Du Xian is a Shanghai spring specialty — salted cured meat, fresh spring bamboo shoots, and winter mushrooms are stewed together, producing a rich, savory, fragrant broth where the tender freshness of the spring bamboo shoots is fully released.",Lao Kele,"Room 1-103, No. 7 Maoming South Road, Huangpu District, Shanghai",021-63286888,121.4657,31.2403,Metro Line 2 Nanjing West Road Station,11:30-22:00,4,100,Need to make an appointment,"Jing'an Temple, Wukang Road"
Xian Du Xian,,"Xian Du Xian is a Shanghai spring specialty — salted cured meat, fresh spring bamboo shoots, and winter mushrooms are stewed together, producing a rich, savory, fragrant broth where the tender freshness of the spring bamboo shoots is fully released.",Suzhehui,"388 Zhaojiabang Road, Huangpu District, Shanghai",021-64159918,121.4679,31.2187,Line 1 Huangpi South Road Station,11:00-21:00,4,169,Need to make an appointment,"Huaihai Road Commercial Street, Xintiandi"
