Attraction Name,Province,City,District,Region,Address,Longitude,Latitude,Category,Core Category,Theme Tags,Scenic Level,Nearby Transport,Opening Hours,Ticket Price,Fee Type,Ticket Purchase,Suggested Duration,Best Visit Months,Suitable For,Introduction,Selling Points,Photo URL,
Xikou,Zhejiang Province,Ningbo City,Fenghua District,East China,"Xikou Town, Fenghua District, Ningbo City, Zhejiang Province",121.28,29.68,5A-rated Scenic Area|Historical Culture|Ecological Sightseeing,Natural Scenery|Historical Culture|Religious Sites,,5A,"Metro: Line 2 to Ningbo West Station | Bus: Routes 914, 823, 954, 490 | Taxi/Ride-hailing: Search scenic spot name to reach | Self-drive: Navigate to 'Ningbo XX Scenic Area', scenic area provides parking",08:00-17:00,Chiang Family Residence 120 + Mount Xuedou 150 (Combined Ticket 230),Paid,Gaode Map APP scenic spot ticket reservation | Douyin APP search for scenic area name group purchase,1-2 days,Suitable all year round,All ages,"Xikou is the hometown of Chiang Kai-shek and Chiang Ching-kuo, renowned for 'the ancient town of Xikou with a thousand years of history, the secluded valley and flying waterfalls of Mount Xuedou, and the beautiful waters and green hills of Tingxia Lake'. The scenic area integrates the essence of culture, the grace of mountains and waters, and the solemnity of Buddhism, making it a national key scenic spot.",Hometown of the Chiang Father and Son; Mount Xuedou Maitreya Buddhist Site; Republican Era History and Culture,https://lyricktrip-1304007227.cos.na-siliconvalley.myqcloud.com/trip-images/溪口.webp,
Xiangshan Film and Television City,Zhejiang Province,Ningbo City,Xiangshan County,East China,"No. 8, Film and Television Avenue, Xinqiao Town, Xiangshan County, Ningbo City, Zhejiang Province",121.85,29.48,4A-level scenic area|Film and television shooting|Theme amusement park,Natural scenery|Theme park,,4A,"Metro: Line 2 to Ningbo West Station | Bus: Routes 914, 823, 954, 490 | Taxi/Ride-hailing: Search scenic spot name to reach | Self-drive: Navigate to 'Ningbo XX Scenic Area', scenic area provides parking",08:45-16:00（15:30停止入园）,"150/person（elderly, children 75）",Paid,Reserve via official scenic area WeChat public account | Search scenic area name on Fliggy APP to purchase tickets,4-6 hours,Suitable all year round,All ages,"Xiangshan Film and Television City is one of China's top ten film and television bases, featuring filming zones such as The Return of the Condor Heroes City, Spring and Autumn Warring States City, and Republic of China City. Numerous well-known films and TV dramas, including The Return of the Condor Heroes, The Orphan of Zhao, and Nirvana in Fire, were filmed here.",China's top ten film and television bases; immersive film and television experience; chance encounters with celebrity filming,https://lyricktrip-1304007227.cos.na-siliconvalley.myqcloud.com/trip-images/象山影视城.webp,
West Lake Scenic Area,Zhejiang Province,Hangzhou,Xihu District,East China,"No. 1 Longjing Road, Xihu District, Hangzhou City, Zhejiang Province",120.1333,30.25,Natural Scenery|Lake,Natural scenery|Historical culture|Modern architecture,,Other,"Metro Line 1, Longxiangqiao Station; Bus routes 7, 27, 51, 52, 118, etc.",Open All Day,Free (some attractions charge fees),Paid,Baidu Maps APP scenic spot ticket purchase | Ctrip APP search scenic spot name to buy tickets | Fliggy APP search scenic spot name to buy tickets,Half day to 1 day,"March-May, September-November","All age groups, photography enthusiasts, culture lovers","Hangzhou West Lake is China's most famous lake scenic area and a UNESCO World Heritage Site. Surrounded by mountains on three sides and bordering the urban area on one side, its basic layout consists of 'one mountain, two pagodas, three islands, three causeways, and five lakes,' featuring numerous famous attractions including the Ten Scenes of West Lake, and is acclaimed as 'Paradise on Earth'.",World Heritage Site|Ten Scenes of West Lake|Free 5A scenic area|Paradise on Earth,https://lyricktrip-1304007227.cos.na-siliconvalley.myqcloud.com/trip-images/西湖风景名胜区.webp,
Lingyin Temple (2),Zhejiang Province,Hangzhou,Xihu District,East China,"No. 1 Fayun Lane, Xihu District, Hangzhou City, Zhejiang Province",120.1,30.2333,Historical culture|Buddhist temple,Natural Scenery|Historical Culture|Religious Sites,,Other,"Metro: Line 3, Hangzhou Sports Center Station | Bus: 362, 294, 392 routes | Taxi/Ride-hailing: Search scenic area name to arrive | Self-driving: Navigate to 'Hang XX Scenic Area', scenic area provides parking",07:30-17:30,Feilai Peak 45+Lingyin Temple 30 incense voucher,Paid,Reserve via the scenic spot's official WeChat public account | Search scenic spot name on Fliggy APP to buy tickets | Buy tickets online via Tongcheng Travel APP,2-3 hours,All year,"Buddhist believers, culture enthusiasts, history enthusiasts","Lingyin Temple was first built in the first year of Xianhe in the Eastern Jin Dynasty, with a history of over 1,700 years, making it Hangzhou's earliest famous temple. The main buildings in the temple include the Hall of Heavenly Kings, the Mahavira Hall, and the Medicine Buddha Hall. The temple is bustling with incense, one of the Five Mountains of Zen Buddhism in Jiangnan, and one of the Ten Ancient Temples of Chinese Zen Buddhism.",Thousand-year-old temple|Jiangnan Zen Five Mountains|Buddhist holy site|Thriving incense,https://lyricktrip-1304007227.cos.na-siliconvalley.myqcloud.com/trip-images/灵隐寺(2).webp,
Thousand Island Lake Scenic Area,Zhejiang Province,Hangzhou,Chun'an County,East China,"No. 348 Menggu Road, Chun'an County, Hangzhou City, Zhejiang Province, Thousand Island Lake Central Lake Area Tourism Dock",118.9833,29.6,Natural Scenery|Lake,Natural scenery | Leisure vacation,,Other,"Metro: Line 3, Hangzhou Sports Center Station | Bus: 362, 294, 392 routes | Taxi/Ride-hailing: Search scenic area name to arrive | Self-driving: Navigate to 'Hang XX Scenic Area', scenic area provides parking",08:00-17:00 (last boat at 14:00),Ticket 130 + Boat 65,Paid,Ctrip APP search scenic spot name to purchase tickets | Meituan APP search scenic spot name to reserve | Scenic spot official website online booking,4-8 hours,4-10 October,"Family tourists, photography enthusiasts, water sports lovers","Thousand Island Lake is a national 5A-level tourist attraction and the lake with the most islands in the world. The lake area covers 573 square kilometers, with 1,078 islands scattered across it. The water is clear, forest coverage is high, making it an ideal destination for leisure vacations and water sports.",5A scenic area|World's most islands in a lake|Excellent water quality|Leisure vacation,https://lyricktrip-1304007227.cos.na-siliconvalley.myqcloud.com/trip-images/千岛湖风景区.webp,
Xixi National Wetland Park,Zhejiang Province,Hangzhou,Xihu District,East China,"No. 518 Tianmushan Road, Xihu District, Hangzhou City, Zhejiang Province",120.0667,30.2667,Natural scenery|Wetland park,Natural Scenery|Historical Culture|Garden Parks,,Other,"Metro Line 3: Xixi Wetland South Station; Bus 83, 86, 310, 356",08:00-17:30 (extended to 18:30 during daylight saving time),80,Paid,Reserve via the scenic spot's official WeChat public account | Search scenic spot name on Meituan APP to reserve | Search for tickets on Dianping APP,Half day to 1 day,"March-May, September-November","Nature lovers, photography enthusiasts, family tourists","Xixi National Wetland Park is China's first national wetland park integrating urban wetlands, agricultural wetlands, and cultural wetlands. It was listed in the International Important Wetlands List in 2009. The scenic area is renowned for its ""Three Dikes and Ten Scenes"" and serves as Hangzhou's urban green lung.",International important wetland|Urban green lung|Three Dikes Ten Scenes|Filming location of 'Not One Less',https://lyricktrip-1304007227.cos.na-siliconvalley.myqcloud.com/trip-images/西溪国家湿地公园.webp,
Songcheng Scenic Area,Zhejiang Province,Hangzhou,Xihu District,East China,"No. 148 Zhijiang Road, Xihu District, Hangzhou, Zhejiang Province",120.1167,30.1833,Theme Park|Performance,Historical Culture|Garden Park|Theme Park,,Other,"Metro: Line 3, Hangzhou Sports Center Station | Bus: 362, 294, 392 routes | Taxi/Ride-hailing: Search scenic area name to arrive | Self-driving: Navigate to 'Hang XX Scenic Area', scenic area provides parking",09:30-21:00 (Park closes 40 minutes after performance ends),320 (includes Songcheng Qianqing Emotion performance),Paid,Gaode Map APP scenic spot ticket booking | Tongcheng Travel APP online ticket purchase | Baidu Map APP scenic spot ticket purchase,Half day to 1 day,All year,"All age groups, culture enthusiasts, performance enthusiasts","Hangzhou Songcheng is China's largest Song Dynasty culture-themed park, themed around Song Dynasty culture and recreating the urban landscape of the Song Dynasty. The core performance 'Songcheng Qianqing Emotion' is acclaimed as one of the 'World's Three Great Shows', alongside Las Vegas' 'O' show and Paris' Moulin Rouge.",World's Three Great Shows|Song Culture Theme|Songcheng Qianqing Emotion|Immersive Experience,https://lyricktrip-1304007227.cos.na-siliconvalley.myqcloud.com/trip-images/宋城景区.webp,
Leifeng Pagoda,Zhejiang Province,Hangzhou,Xihu District,East China,"No. 15 Nanshan Road, Xihu District, Hangzhou, Zhejiang Province",120.15,30.2333,Historical Culture | Ancient Architecture,Natural scenery|Historical culture|Modern architecture,,Other,"Metro: Line 3, Hangzhou Sports Center Station | Bus: 362, 294, 392 routes | Taxi/Ride-hailing: Search scenic area name to arrive | Self-driving: Navigate to 'Hang XX Scenic Area', scenic area provides parking",08:00-20:00 (May-October); 08:00-17:30 (November-March),40,Paid,Search for the scenic area name on Fliggy APP to purchase tickets | Scenic area ticket booking on Gaode Map APP,1-2 hours,All year,"Culture enthusiasts, photography enthusiasts, tourists","Leifeng Pagoda is located on Sunset Hill on the southern shore of West Lake, originally built in the second year of Taiping Xingguo of the Northern Song Dynasty. The old pagoda collapsed in 1924, and the new pagoda was rebuilt in 2002. Leifeng Pagoda is famous due to the legend of 'The Legend of the White Snake', and 'Leifeng Sunset' is one of the Ten Scenes of West Lake.",West Lake Ten Scenes|Legend of the White Snake|West Lake Landmark|Climb the Pagoda for Views,https://lyricktrip-1304007227.cos.na-siliconvalley.myqcloud.com/trip-images/雷峰塔.webp,
Broken Bridge Snow,Zhejiang Province,Hangzhou,Xihu District,East China,"No. Beishan Street, Xihu District, Hangzhou, Zhejiang Province",120.15,30.2667,Natural Scenery|Historical Relics,Natural scenery|Historical culture,,Other,"Metro: Line 3, Hangzhou Sports Center Station | Bus: 362, 294, 392 routes | Taxi/Ride-hailing: Search scenic area name to arrive | Self-driving: Navigate to 'Hang XX Scenic Area', scenic area provides parking",Open All Day,Free,Free,Fliggy APP search scenic spot name to purchase tickets | Douyin APP search scenic spot name for group purchase | Tongcheng Travel APP online ticket purchase,30 minutes - 1 hour,Winter (best for snow scenery),"Culture enthusiasts, photography enthusiasts, couples","Broken Bridge is located at the eastern end of Bai Causeway and is the site of the West Lake Ten Scenes 'Broken Bridge Remaining Snow'. It is famous because Xu Xian and Bai Suzhen met here in 'The Legend of the White Snake'. After winter snowfall, snow remains on the bridge surface while the bridgehead has already melted, creating a distant illusion of a broken bridge, hence the name 'Broken Bridge Remaining Snow'.",West Lake Ten Scenes|Legend of the White Snake|Free Attraction|Winter Snow Scenery,https://lyricktrip-1304007227.cos.na-siliconvalley.myqcloud.com/trip-images/断桥残雪.webp,
Three Pools Mirroring the Moon,Zhejiang Province,Hangzhou,Xihu District,East China,"Central West Lake, West Lake District, Hangzhou, Zhejiang Province",120.1333,30.25,Natural Scenery|Lake,Natural Scenery|Modern Architecture,Night Tour,Other,"Metro: Line 3, Hangzhou Sports Center Station | Bus: 362, 294, 392 routes | Taxi/Ride-hailing: Search scenic area name to arrive | Self-driving: Navigate to 'Hang XX Scenic Area', scenic area provides parking",08:00-17:00,55 (including round-trip boat ticket),Paid,Search scenic spot name for group purchase on Douyin APP | Scenic spot ticket reservation on Gaode Map APP,1-2 hours,Around Mid-Autumn Festival,"Culture enthusiasts, photography enthusiasts, tourists","Three Pools Mirroring the Moon is one of the Ten Scenes of West Lake, located on Xiaoyingzhou Island in the center of West Lake. The island features structures such as the ""Kaiwang Pavilion"" and ""Wo Xin Xiang Yin Pavilion,"" with three pagodas standing in formation on the lake. On Mid-Autumn night, lamps are lit inside the pagodas, and moonlight, lamplight, and lake light reflect together, creating the wondrous scene of ""one moon in the sky, three reflections in the lake.""",West Lake Ten Scenes|Mid-Autumn Moon Viewing|Lake Center Island|RMB Pattern,https://lyricktrip-1304007227.cos.na-siliconvalley.myqcloud.com/trip-images/三潭印月.webp,
Hangzhou Zoo,Zhejiang Province,Hangzhou,Xihu District,East China,"No. 40 Hupao Road, West Lake District, Hangzhou, Zhejiang Province",119.76636,30.098598,Zoo|Family-Friendly,Natural scenery|Garden park,Family|Educational Travel,Other,"Metro: Line 3, Hangzhou Sports Center Station | Bus: 362, 294, 392 routes | Taxi/Ride-hailing: Search scenic area name to arrive | Self-driving: Navigate to 'Hang XX Scenic Area', scenic area provides parking",07:00-17:30 (extended to 18:00 in summer),20,Paid,Official scenic area website online booking | Search scenic area name for group purchase on Douyin APP | Search scenic area name to buy tickets on Fliggy APP,3-4 hours,All year,"Families with children, students, animal lovers","Hangzhou Zoo was established in 1958 and is a forest-style zoo integrating wildlife protection, scientific research, science popularization, education, and sightseeing. The zoo houses rare animals such as giant pandas, golden snub-nosed monkeys, Asian elephants, and giraffes, making it an ideal destination for family outings and science education.",Giant Panda|Golden Snub-nosed Monkey|Family Amusement|Science Education,https://lyricktrip-1304007227.cos.na-siliconvalley.myqcloud.com/trip-images/杭州动物园.webp,
Liangzhu Ancient City Ruins Park,Zhejiang Province,Hangzhou,Yuhang District,East China,"Northwest 200 meters from the intersection of Fengdu Road and National Highway 104, Yuhang District, Hangzhou, Zhejiang Province",120.483153,30.615507,Historical Site|Archaeological Site,Natural Scenery|Historical Culture|Garden Parks,,Other,"Take Line 2 of the subway to Liangzhu Station, transfer to bus 7437M; or take bus 313, 348, or 428M to Liangzhu Ruins Park South Station",09:00-17:00 (entry stops at 16:00),60,Paid,Official website online booking | Dianping APP search for ticket purchase,Half day to 1 day,Spring and autumn seasons,"History enthusiasts, culture lovers, archaeology enthusiasts","The Liangzhu Ancient City Ruins are a testament to 5,000 years of Chinese civilization and were inscribed as a UNESCO World Heritage Site in 2019. The ruins park centers on the Mojiaoshan Palace Area, showcasing the brilliant achievements of Liangzhu culture and serving as an important window into the origins of Chinese civilization.",World Cultural Heritage|Five Thousand Years of Civilization|Archaeological Site|Origin of Chinese Civilization,https://lyricktrip-1304007227.cos.na-siliconvalley.myqcloud.com/trip-images/良渚古城遗址公园.webp,
West Lake (2),Zhejiang Province,Hangzhou City,Xihu District,East China,"No. 1 Longjing Road, Xihu District, Hangzhou City, Zhejiang Province",120.15,30.27,5A-level Scenic Area|Lake Scenery|Cultural Relics,Natural Scenery|Historical Culture|Religious Sites,,5A,"Bus: Bus 271, Metro Line 14 | Self-drive: Navigate to scenic area parking lot | Taxi/Ride-hailing: Directly locate scenic area name",Open All Day,"Free (lakeside area), some attractions charge (e.g., Leifeng Pagoda 40, Lingyin Temple 75, etc.)",Paid,Douyin APP search scenic area name group purchase | Dianping APP search ticket purchase,1-2 days,Suitable all year round,All ages,"West Lake is one of China's Top Ten Scenic Spots, featuring the basic layout of ""one mountain, two pagodas, three islands, three causeways, five lakes"", blending natural scenery with cultural landscapes. The ""Ten Scenes of West Lake""—such as Su Causeway in Spring Dawn, Broken Bridge in Remaining Snow, and Leifeng Pagoda in Sunset Glow—are world-renowned, earning it the reputation of ""Paradise on Earth"".",China's first free-to-open 5A-level scenic area; birthplace of the Legend of the White Snake; World Cultural Heritage,https://lyricktrip-1304007227.cos.na-siliconvalley.myqcloud.com/trip-images/西湖(2).webp,
Thousand Island Lake,Zhejiang Province,Hangzhou City,Chun'an County,East China,"Thousand Island Lake Central Lake Area Tourism Dock, Chun'an County, Hangzhou City, Zhejiang Province",118.95,29.6,5A-level Scenic Area|Lake Scenery|Eco-tourism,Natural Landscape|Modern Architecture|Leisure Vacation,,5A,"Bus: Bus 538, Metro Line 4 | Self-drive: Navigate to scenic area parking lot | Taxi/Ride-hailing: Directly locate scenic area name",08:00-17:30 (Weekdays/Holidays),130 (includes central lake area boat tour),Paid,Tongcheng Travel APP online ticket purchase | Scenic Area Official Website online booking | Fliggy APP search scenic area name to buy tickets,1-2 days,Suitable all year round,All ages,"Thousand Island Lake is named for its 1,078 emerald islands; it is the backyard of the Yangtze River Delta region. The lake water is crystal clear, with visibility up to 12 meters, classified as a national Grade I water body. The scenic area is divided into central lake area, southeast lake area, etc., making it an ideal destination for leisure vacations and water sports.","Number One Beautiful Water under Heaven; Source of Nongfu Spring Water; Islands scattered like stars, picturesque scenery",https://lyricktrip-1304007227.cos.na-siliconvalley.myqcloud.com/trip-images/千岛湖.webp,
Lingyin Temple,Zhejiang Province,Hangzhou City,Xihu District,East China,"No. 1 Fayun Lane, Lingyin Road, Xihu District, Hangzhou City, Zhejiang Province",120.1,30.24,5A-level scenic area|Buddhist culture|Stone carving art,Historical culture|Religious site,,5A,"Bus: Bus 702, Metro Line 18 | Self-drive: Navigate to scenic area parking lot | Taxi/Ride-hailing: Directly locate scenic area name",07:30-17:15 (Opens half an hour earlier on Buddha's Birthday and holidays),Feilai Feng 45 + Lingyin Temple 30 = 75,Paid,Ctrip APP online ticket purchase | Gaode Map APP scenic spot ticket booking | Scenic area official WeChat public account reservation,3-4 hours,Suitable all year round,All ages,"Lingyin Temple was founded in the first year of Xianhe of the Eastern Jin Dynasty, making it Hangzhou's earliest renowned monastery and one of China's Top Ten Ancient Zen Buddhist Temples. The Feilai Feng carvings are an important legacy of ancient Southern Chinese grotto art, with over 380 statues from the Five Dynasties to Song and Yuan periods.",Thousand-year-old temple; Place where Ji Gong became a monk; Artistic treasure of Feilai Feng stone carvings,https://lyricktrip-1304007227.cos.na-siliconvalley.myqcloud.com/trip-images/灵隐寺.webp,
Yandang Mountain,Zhejiang Province,Wenzhou City,Yueqing City,East China,"No. 88 Yanshan Road, Yandang Town, Yueqing City, Wenzhou, Zhejiang Province",121.05,28.37,5A-level scenic area|Mountain scenery|World Geopark,Natural scenery|Garden park,,5A,Bus: Route 33 | Self-drive: Navigate to scenic area parking lot | Taxi/Ride-hailing: Directly locate scenic area name | Scenic area shuttle/sightseeing vehicle,06:30-21:30 (Core scenic area),"Lingfeng Scenic Area 45, Lingyan Scenic Area 50, Dalongqiu Scenic Area 50 (Combined ticket more favorable)",Paid,Gaode Map App Scenic Spot Ticket Booking | Baidu Map App Scenic Spot Ticket Purchase,1-3 days,Suitable all year round,All ages,"Yandang Mountain formed 120 million years ago, renowned as the 'Celebrated Mountain of the Sea' and 'Peerless Beauty Under Heaven,' historically acclaimed as 'The First Mountain of Southeast China.' It is famed for its peculiar peaks and strange rocks, ancient caves and stone chambers, and flying waterfalls and flowing springs. Lingfeng, Lingyan, and Dalongqiu are known as the 'Three Wonders of Yandang'.","World Geopark; First Mountain of Southeast China; Yandang Three Wonders (Lingfeng Night View, Lingyan Flying Crossing, Dalongqiu Waterfall)",https://lyricktrip-1304007227.cos.na-siliconvalley.myqcloud.com/trip-images/雁荡山.webp,
Nanxi River,Zhejiang Province,Wenzhou City,Yongjia County,East China,"Nanxi River Scenic Area, Yongjia County, Wenzhou, Zhejiang Province",120.65,28.15,4A-level scenic area|River and lake scenery|Ancient villages,Natural scenery|Historical culture,,4A,Bus: Bus Route 27 | Self-drive: Navigate to scenic area parking lot | Taxi/Ride-hailing: Directly locate scenic area name,Open All Day,"Cangpo Ancient Village 9, Yaixia Ku/Shimentai and other scenic spots approx. 30-50 each",Paid,Tongcheng Travel APP online ticket purchase | Douyin APP search for scenic area name group purchase,2 days 1 night,Suitable all year round,All ages,"The Nanxi River is renowned far and wide for its unique characteristics of 'clear water, peculiar rocks, numerous waterfalls, ancient villages, and beautiful beaches and forests.' The river winds and twists, with lush green forests on both banks, ancient villages scattered like stars, and is regarded as the cradle of Chinese mountain-and-water poetry, acclaimed as the 'Cradle of Chinese Landscape Painting'.",Cradle of Chinese Landscape Painting; Ancient village cluster; Bamboo raft drifting experience,https://lyricktrip-1304007227.cos.na-siliconvalley.myqcloud.com/trip-images/楠溪江.webp,
Nanxun Ancient Town,Zhejiang Province,Huzhou City,Nanxun District,East China,"No. 51 Renrui Road, Nanxun District, Huzhou City, Zhejiang Province",120.42,30.88,5A-level scenic area|ancient town water town|historical and cultural,Natural scenery|Historical culture,,5A,Bus: Bus Route 5 | Self-drive: Navigate to scenic area parking lot | Taxi/Ride-hailing: Directly locate scenic area name,08:00-16:30,95/person (5-attraction combo ticket),Paid,Gaode Map APP scenic spot ticket booking | Official WeChat public account reservation | Baidu Map APP scenic spot ticket purchase,4-6 hours,Suitable all year round,All ages,"Nanxun Ancient Town is one of the six major ancient towns in Jiangnan. During the Ming and Qing dynasties, it was a renowned silk-producing town in Jiangnan. The ancient town boasts numerous historical sites and scenic spots, with distinctive architectural complexes blending Chinese and Western styles such as Xiao Lianzhuang, Jiaye Hall Library, and the former residence of Zhang Shiming, earning it the titles of 'Cultural State' and 'Hometown of Poetry and Books'.",Jiangnan silk-producing town; Sino-Western architectural fusion; profound historical heritage of prosperity in Jiangnan,https://lyricktrip-1304007227.cos.na-siliconvalley.myqcloud.com/trip-images/南浔古镇.webp,
Mogan Mountain,Zhejiang Province,Huzhou City,Deqing County,East China,"No. Mogan Mountain Town, Deqing County, Huzhou City, Zhejiang Province",119.82,30.63,4A-level scenic area|mountain scenery|summer retreat,Natural scenery|museum|leisure vacation,,4A,Bus: Bus Route 49 | Self-drive: Navigate to scenic area parking lot | Taxi/Ride-hailing: Directly locate scenic area name | Scenic area shuttle/sightseeing vehicle,08:00-17:00,80 (ticket + scenic area shuttle bus 105),Paid,Gaode Map APP scenic spot ticket booking | Scenic spot official website online booking | Fliggy APP search scenic area name to purchase tickets,1-2 days,Suitable all year round,All ages,"Mogan Mountain is one of China's four major summer resorts, renowned domestically and internationally for its 'Three Wins' of bamboo, springs, and clouds, and its 'Four Excellences' of coolness, freshness, greenery, and tranquility. Over 200 villas dot the mountain, forming a unique 'World Architectural Museum', making it an ideal destination for leisure, vacation, summer retreat, and recuperation.",One of China's four major summer resorts; birthplace of homestays; World Architectural Museum; bamboo forest stroll,https://lyricktrip-1304007227.cos.na-siliconvalley.myqcloud.com/trip-images/莫干山.webp,
Shen Garden,Zhejiang Province,Shaoxing City,Yuecheng District,East China,"No. 318 Lu Xun Middle Road, Yuecheng District, Shaoxing City, Zhejiang Province",120.58,30,5A-level scenic area|classical garden|love culture,Natural Scenery|Historical Culture|Garden Parks,,5A,Bus: Route 25 | Self-drive: Navigate to scenic area parking lot | Taxi/Ride-hailing: Directly navigate to scenic area name,Daytime 08:00-16:40; Night tour 18:30-21:00,"Daytime 40; Night tour Building A 180, Building C 120",Paid,Reservation via scenic area official WeChat public account | Ticket purchase via Dianping APP search,1-2 hours,Suitable all year round,All ages,"Shen Garden was a private garden of a Shen-surname wealthy merchant during the Southern Song Dynasty, famous for the tragic love story of Lu You and Tang Wan. The garden features pavilions, towers, small bridges, flowing water, and lush greenery, representing a typical Jiangnan classical garden. Lu You composed the timeless masterpiece 'Hairpin Phoenix' here.",Lu You and Tang Wan's love sanctuary; birthplace of 'Hairpin Phoenix'; Jiangnan classical garden; Yue opera performance,https://lyricktrip-1304007227.cos.na-siliconvalley.myqcloud.com/trip-images/沈园.webp,
Donghu,Zhejiang Province,Shaoxing City,Yuecheng District,East China,"Donghu Town, Yuecheng District, Shaoxing City, Zhejiang Province",120.6,30.02,4A-level scenic area|Lake scenery|Stone culture,Natural Scenery|Historical Culture|Religious Sites,,4A,Bus: Bus Route 3 | Self-drive: Navigate to scenic area parking lot | Taxi/Ride-hailing: Directly locate scenic area name,08:00-17:00,50/person,Paid,Reservation via official scenic area WeChat public account | Reservation by searching scenic area name on Meituan APP | Ticket purchase via Baidu Maps APP,2-3 hours,Suitable all year round,All ages,"Donghu is renowned for its clear mountains and beautiful waters, as well as its extraordinary caves and secluded grottoes. Together with Hangzhou's West Lake and Jiaxing's South Lake, it is known as one of the Three Great Lakes of Zhejiang. The scenic area uses mountains as screens, caves as scenery, and stones as highlights. Taking a black-awning boat tour is its greatest feature, allowing visitors to admire the unique quarry relics landscape.",One of the Three Great Lakes of Zhejiang; Black-awning boat experience; Quarry relics marvel; Cliff and steep walls,https://lyricktrip-1304007227.cos.na-siliconvalley.myqcloud.com/trip-images/东湖.webp,
Putuoshan,Zhejiang Province,Zhoushan City,Putuo District,East China,"No. 85-1, Meicen Road, Putuo District, Zhoushan City, Zhejiang Province",122.38,30.02,5A-level scenic area|Buddhist culture|Island scenery,Natural Scenery|Historical Culture|Religious Sites,,5A,Bus: Bus Route 19 | Self-driving: Navigate to scenic area parking lot | Taxi/Ride-hailing: Directly locate scenic area name | Scenic area shuttle/sightseeing vehicle,07:00-21:50 (Entry stops at 21:50),"160/person (peak season), 120/person (off-season), excluding boat tickets",Paid,Search and purchase tickets via Dianping APP | Reserve via official WeChat public account of the scenic area | Online reservation via official website of the scenic area,1-2 days,Suitable all year round,All ages,"Putuoshan is one of China's Four Sacred Buddhist Mountains and the bodhimanda of Avalokitesvara (Guanyin). It is famed as the 'Buddhist Kingdom on the Sea and Sky' and the 'Holy Land of the South Sea'. The island boasts picturesque scenery, secluded caves, extraordinary rocks, ancient temples shrouded in mist, and a perfect blend of Buddhist culture and island landscapes.",Avalokitesvara bodhimanda; Buddhist Kingdom on the Sea and Sky; South Sea Guanyin Statue; Puji Chan Temple,https://lyricktrip-1304007227.cos.na-siliconvalley.myqcloud.com/trip-images/普陀山.webp,
Jianglangshan,Zhejiang Province,Quzhou City,Jiangshan City,East China,"Jianglang Township, Jiangshan City, Quzhou City, Zhejiang Province",118.57,28.5,5A-level scenic area|Mountain scenery|World Natural Heritage,Natural scenery | Religious site,,5A,Bus: Bus 22 | Self-drive: Navigate to scenic area parking lot | Taxi/Ride-hailing: Directly locate scenic area name | Scenic area shuttle/sightseeing vehicle,08:00-17:00,"90/person (free from Monday to Friday, excluding holidays)",Paid,Douyin APP search scenic spot name for group purchase | Tongcheng Travel APP online ticket purchase,4-6 hours,Suitable all year round,All ages,"Jianglang Mountain is world-renowned for its majestic and unique ""Three Pieces of Stone,"" featuring China's most extraordinary Danxia peak, the nation's finest ""One Line Sky,"" and the naturally formed Great Man Peak. In 2010, it was included in the World Natural Heritage List as one of the nominated sites in the ""China Danxia"" series.",World Natural Heritage; China's First Danxia Peak; Nation's Best One Line Sky,https://lyricktrip-1304007227.cos.na-siliconvalley.myqcloud.com/trip-images/江郎山.webp,
Longyou Grottoes,Zhejiang Province,Quzhou City,Longyou County,East China,"Xiaonanhai Town, Longyou County, Quzhou City, Zhejiang Province",119.17,29.03,4A-level scenic area|Cultural heritage|Unsolved mystery,Natural Scenery|Historical Culture|Religious Sites,,4A,Bus: Bus Route 5 | Self-drive: Navigate to scenic area parking lot | Taxi/Ride-hailing: Directly locate scenic area name,08:00-17:30,85/person (children/students/elderly: 42),Paid,Ctrip APP: search scenic area name to purchase tickets | Meituan APP: search scenic area name to reserve,2-3 hours,Suitable all year round,All ages,"The Longyou Grottoes are one of the highest-level ancient underground artificial architectural complexes in China and a major wonder in the development and utilization of underground space worldwide. To date, 36 large and small grottoes have been discovered, with their construction period, purpose, and other details still remaining unsolved mysteries, earning them the reputation of the ""Ninth Wonder of the World.""",Ninth Wonder of the World; Millennium Mystery; Underground Architectural Wonder; Global Free Tour of Quzhou Activity,https://lyricktrip-1304007227.cos.na-siliconvalley.myqcloud.com/trip-images/龙游石窟.webp,
